Compound,C_Label,BAT-xz971,BAT-xz972,Br-xz971,Br-xz972,Dia-xz971,Dia-xz972,gas-xz971,gas-xz972,gWAT-xz971,gWAT-xz972,H-xz971,H-xz972,Kid-xz971,Kid-xz972,Liv-xz971,Liv-xz972,Lu-xz971,Lu-xz972,Pc-xz971,Pc-xz972,Q-xz971,Q-xz972,SI-xz971,SI-xz972,Sol-xz971,Sol-xz972,Sp-xz971,Sp-xz972,BAT-xz981,BAT-xz982,Br-xz981,Br-xz982,Dia-xz981,Dia-xz982,gas-xz981,Gas-xz982,gwat-xz981,gwat-xz982,H-xz981,H-xz982,Kd-xz981,Kd-xz982,Liv-xz981,Liv-xz982,Lu-xz981,Lu-xz982,Pc-xz981,Pc-xz982,Q-xz981,Q-xz982,SI-xz981,SI-xz982,sol-xz981,sol-xz982,Sp-xz981,Sp-xz982
glucose,0,9553199.89089051,15062527.0535648,481379.86936945,1214183.28489506,6352156.80617231,9843282.53706718,7311072.86675868,6591031.60277095,10836076.4698844,7035582.28886504,8844540.09492132,6381201.36373937,28612722.4768523,11268746.076415,40317702.5863575,28717912.9394154,11705516.2980777,19940447.1432019,6646281.04684818,6862170.79993534,9169550.94179012,2922071.63657269,16907675.4611845,59306.2412670557,2537065.36340793,3401333.73672872,8223461.12954158,7686201.3011344,1858098.90922141,496958.276171188,940317.760827993,1105504.37737504,16365111.793937,22326400.7878471,12572665.5949376,16690807.4258361,2908265.85475714,1487821.77583354,4281853.84822075,6138834.30670162,21133407.3022178,18423492.2048423,63943251.6492433,66653756.954508,21132694.4094933,22541773.8202843,8374489.11399613,8871073.2430463,12572038.9910515,11271950.7233018,4789024.25813281,4286778.78612938,4739683.60820727,4585710.94303639,11487828.361203,10816139.0813031
glucose,1,20483.7859878915,304251.127581638,0,0,0,97670.9913475277,0,32261.5062209195,0,84441.856105066,0,52232.7343754228,103580.686176551,333776.834090188,168375.15975918,420753.027868518,0,246217.216726184,0,62558.7560682291,3678.48804379738,0,45362.039738888,300.405003555961,0,7266.31318209259,0,28078.4193194054,0,0,0,0,108935.447057702,100107.536640945,4671.6028524493,55243.8796548025,5692.03111258033,0,0,19305.8722755231,175292.126415487,203214.593242105,416324.563562233,329304.64463696,246590.027357886,239652.3369945,55328.3043663365,63956.9349854147,67344.9779964431,13694.773691077,20916.973705803,19176.6407548093,0,15090.8904685636,102810.448576329,90198.2655418714
glucose,2,7796.52408420879,92931.1888677404,0,5672.58060079714,6139.25245298429,61770.4047750204,4548.2422476682,78015.0943092904,5748.49218415035,50072.3348712799,15947.4322663587,34938.7371011371,31611.6227309111,40093.4693777176,47831.837990903,262581.561801322,17062.5625690976,152206.664187692,7056.08051566632,39923.1941009819,10273.7308253397,12236.4847528798,26900.7166866422,0,0,24555.8392918967,14684.2760272978,44338.2705894233,2534.02186686463,0,0,0,33162.4529812225,29099.8837637742,10582.4086009912,9887.36342970724,5304.46109892698,0,13745.5607394682,9587.9339421204,44818.2021411212,38502.9708570024,65336.0964087474,79247.5143283722,43902.3081799772,53369.1091716178,18144.8755929898,12639.1058786699,9315.92080955955,1803.65265672717,13999.9575166694,6286.64621058398,6615.17640825581,6641.52718979514,22913.1873796554,23451.9762543585
glucose,3,17014.4015267969,105644.81599401,0,5625.8558944717,7089.49264781115,70741.4218404868,0,27892.82519817,7942.90774143236,49712.8163659773,11076.4819652741,41374.7569908251,41976.3086653958,3664.06346105024,65245.0274485905,216497.551956311,13429.7036676215,136751.235170951,11608.2757786005,47488.2854036486,12093.5619426816,16607.145576227,15492.6598167984,0,3527.32708542237,17017.6647470827,11564.9639029625,48907.9575910219,1725.20353979486,0,0,0,22316.322925077,22779.9448492973,10930.6449676965,13292.8765983544,5310.38603295505,906.011990236243,5158.9172887859,10125.6042663541,29239.6586744347,29267.1173593268,70259.3898790956,82562.2962745327,34880.6338801273,34245.3053342007,10944.997535387,14457.0206158794,7517.95887844618,6444.0558255373,3955.95863998258,9227.46886957698,4735.26495611817,6190.00344886158,22133.9914683107,17244.7160478856
glucose,4,618.081651788915,0,0,0,0,87.7442690354092,0,0,0,0,0,0,0,0,0,259.535075413529,0,0,0,0,1108.49326287298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386.663909053,0,0,630.495275238018,0,0,0,0,0,0,0,0,0,0
glucose,5,0,0,0,0,0,0,0,0,6191.55863568415,0,1540.28639733884,0,0,0,0,0,0,0,0,2654.4812212201,0,0,0,1017.1019526773,0,0,0,1559.98085367865,0,0,1160.75836292814,0,2850.74165093019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097.72129607558,1036.13483294562,0,0
glucose,6,0,0,0,0,0,0,1086.84542782207,0,0,0,0,0,0,0,0,0,0,0,2135.9480285498,0,3136.57467784508,0,1907.72300355334,0,3414.35106837923,0,0,0,0,0,0,1945.29461958761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1448.02223697773,1128.27551804945,0,2055.12338558302
lactate,0,75685330.6116736,99209994.3579747,142624139.9382,247760286.349181,139501627.427355,87029819.6732469,176980460.063839,210292696.261199,17594038.9831804,20404384.2354542,241525542.513544,247763720.65296,113474481.338893,44136794.6129348,33001363.0911662,49551809.4592981,96922646.974257,107226485.142616,39039993.7441587,50073420.1425519,201963987.312867,97963178.1880995,82867889.380172,5098786.55584915,106187895.049792,131169276.564537,40809231.2833188,73704648.6022032,51010586.7223179,32271751.6431135,233188299.846531,242558527.562736,212371524.246597,255053358.080208,273797603.807827,379982362.912742,9706583.28409519,5699008.69233824,352911675.414539,331051194.868953,199876388.351202,187387126.492942,121798230.535365,111387756.791925,157196352.135572,160319658.416959,56736208.2558361,51114323.3778122,321683597.143055,317510627.973804,114512244.438504,117634520.604473,144705238.444338,148869752.846927,88590367.6970018,97856208.6778649
lactate,1,142847.401973301,523531.47870864,427667.93277109,1749061.02862279,353682.986327695,473612.198307645,371095.427119155,613361.399108488,26935.8476132564,84783.5032664937,579936.475934481,1411231.22068682,360185.192629893,513362.200207496,97916.5051200246,374892.325367706,221186.201212467,508920.702467956,63173.8981011427,268362.156768492,618607.716943549,276073.17942521,234495.301271182,6218.1126961624,260672.171381086,720480.646014731,123590.239622787,404190.684733998,249485.454439843,183046.914615748,1435834.01734685,1387851.79969636,947188.367976017,1205672.67282823,733306.380180505,1306593.71334737,68271.8225416276,7183.46468635883,1557069.48910779,1330416.69308192,1160055.57207056,786326.613580786,851082.634008301,815082.646673408,723022.834662592,717249.617322317,283185.467543633,286705.964086951,1116241.09397247,1980105.59974922,691579.504535943,792239.4241251,534395.725423783,516435.348556761,582029.894549144,561894.321877224
lactate,2,24301.3350956313,161279.245244619,61771.426642916,666005.387135727,83836.3996069319,144890.973984434,32078.0941085195,124673.5202774,7048.36593148607,20943.4599962663,19101.7292735674,109937.286600644,49892.2867246034,69686.1674104449,7667.15432067153,103036.018489024,36552.201097079,135392.087598966,11542.2164957695,66544.8524745312,19434.4853030242,69503.3028427558,25372.5640713917,7651.64206541072,27137.3056438291,240622.399060887,12000.7686052836,125524.564906577,39554.0632755442,26159.144012443,185522.620314743,210665.68211777,130668.095114201,128951.710988902,0,43548.1501704597,5057.29787757287,4011.55141826673,192204.379062315,153408.494804937,197562.083736902,183392.439077215,139001.919165516,138519.528280681,77994.3687351192,93802.6246445834,40069.2283202377,34455.6547672241,44678.4969083111,14551.3223418691,113697.834682889,0,72148.1855435083,59122.2768677851,74876.385237313,99298.4661196383
lactate,3,125043.609381403,201720.226869287,104907.109575394,601303.238175931,122231.378898289,185779.498755697,175015.921247931,180922.094073307,55717.48037392,60216.1669383025,99858.5459914238,202413.24688985,112316.621861284,58797.306702375,85947.4531847949,146108.255938039,77493.3701661359,130540.184118731,68727.2582627596,103071.520755136,159347.12588896,77587.6423954949,84349.67628517,15181.1319186643,155325.163880886,299221.116252594,64306.1337856261,159588.231668576,30353.8957914374,15525.8615140641,118736.304204984,119862.479982646,84035.6723890267,111004.935324543,30221.1217012364,67905.0916764946,9577.10910704812,5828.19249583831,93173.2078400108,90897.9033088727,72042.6342518397,90903.7585941294,61100.036460664,64361.6882319515,39827.8972362693,46276.3277897105,28747.7445439098,17486.7887182711,36325.1175838108,57920.5787442519,67860.0613039706,71320.5640883973,40824.8737128406,59911.1242757627,54764.5790213597,58998.5677469444
pyruvate,0,2702479.30054084,2461460.5958839,1031923.10703299,1087866.18082721,5888097.00532277,6086679.18800587,17798387.5907308,21128267.5213796,1784978.28558616,1446883.10217629,3870319.38080662,2692989.54436365,1001685.98656462,770809.663071877,1478866.18302738,480525.618665509,11759131.3567315,15612025.4779453,725863.150209892,1229577.97877404,20608318.3258168,1066612.92733465,7098938.04519125,3361.37904899273,5629122.95484302,8847321.48250517,6558641.10411834,3412695.97782055,11135396.8374492,7950006.81988726,11550635.0368925,7366345.71442546,24872515.1920317,26436934.7929097,68069772.6243267,110327594.139234,18318811.9052062,11449044.2512064,15402695.8758944,13736111.0672978,13426479.5425052,15922942.8926434,33410627.5191249,28934972.0347522,77852762.9649984,115530242.221299,15612442.4209132,18834045.86855,107203502.582507,68277431.0033839,36636383.9733367,34451067.3824912,26125152.0858622,24563600.3858993,25291731.1598099,26228916.7392979
pyruvate,1,0,0,0,0,0,0,4391.68300282499,86344.1831545675,0,0,0,0,0,0,0,0,0,63213.7575941217,0,0,39157.8253488069,0,0,890.58005823253,0,0,0,0,0,0,0,0,0,0,142157.497148608,0,4057.75162616831,23882.3877348566,0,0,0,0,45988.0855870613,48690.4297126107,236240.040555225,343133.765963659,21575.804727205,0,342332.448646822,194166.919624806,131984.759568203,86509.0033955566,2963.16409976666,31571.4275087379,0,34985.3056767107
pyruvate,2,0,1443.40303024486,0,1847.36585199864,0,11285.2586400106,0,10730.0354568813,0,122.333108849896,0,2429.92666290335,0,0,0,0,2315.84999879929,15184.4850047072,0,394.504385297228,1713.00037045454,0,2104.57858890678,0,0,16270.2588997849,0,685.478517398034,859.69777210578,0,0,0,12818.3061912114,0,0,9078.94943431266,9092.11083025029,2989.8381152983,0,0,0,11253.3668765481,31688.6949749784,26659.3282205916,15593.3055797487,41256.0439392388,9716.38228504052,6334.31804875159,2517.01381009354,0,29625.5335791079,20339.5946726438,12433.5424341046,9460.57843501711,13878.3443239626,7706.06457161493
pyruvate,3,3626.24162648722,1272.86680038673,0,0,0,11757.6172378755,7356.02328220217,15215.8526172463,0,780.343502479234,0,899.644840742519,0,0,0,0,0,17333.6190070758,0,1263.49126670234,4350.11454610737,0,3235.58564537551,0,6154.43911464006,14450.2489928436,1579.35212519457,2177.17461759172,0,9059.63973810045,0,587798.103711966,8385.68405036104,24418.1870752523,16253.9291088851,5656.19122732846,12262.4019400974,3554.98370367356,8537.97874637034,6931.36108406715,3030.00610231688,5170.48297023632,14938.98811266,22100.1386469439,43098.4327975831,35082.4908677027,0,3770.91543688939,13588.4647391552,10446.2753516463,24906.1763074679,20724.9053048306,18990.2118973105,18485.0556576351,16925.711373617,11228.5937054543
citrate/isocitrate,0,32361916.4986363,12162892.4998966,14443703.2594395,16504832.3557105,36704824.4875916,39851847.950781,15958406.8277961,11725998.8788308,285616548.809517,510138.473649603,27583536.676189,19003671.3389347,50605832.7236997,9652400.3323032,13029331.6313495,5145917.91964241,9922385.53164745,44956108.2618566,45718193.9175852,33444490.5741615,31380375.6400014,3451768.95993953,39528644.7493518,51437.7767179512,29102894.2610067,18569803.722521,45609622.4822668,47996541.7429703,783203.476865697,235187.343812813,20305591.0490609,19329207.7187487,43760613.4208141,34639096.5432531,19221302.958729,22696496.9192149,1152620.34750918,461410.133502192,31926380.3611288,37464348.0321961,31272860.8225376,32467328.4220669,15527788.3335479,14876267.5348135,56684893.0532958,63958523.7866097,158546249.64293,100992038.323182,15963695.2965235,13791774.9117402,44303937.3359781,42674865.9369029,22695756.6033269,20306626.2010909,56792600.5443506,50169032.069615
citrate/isocitrate,1,73973.5907797953,24727.744902009,2685.83975394127,228146.124827854,180739.779750393,415732.14511555,0,0,29950.8644825874,0,73643.6356023522,123677.361709715,153131.094625765,296071.013636404,0,0,0,406608.270969046,218844.846470638,412169.538944085,0,0,157286.451040787,265.060029575645,0,70637.3662707061,216532.382081648,440086.289908541,0,0,250975.302519669,150031.851316693,498328.372522009,413332.505426158,80552.0051491766,79351.1351427762,0,0,186568.82110388,247581.309245695,378200.250819607,391178.217259183,193136.755967584,185533.657419995,403721.449413979,657042.967557251,899111.416559207,548186.276263779,42749.6304045309,35819.2479157185,464164.952354623,471902.137915235,153512.755009318,147852.847763883,491672.007576822,391488.916586001
citrate/isocitrate,2,0,51465.4454147752,44768.1472911885,114297.078932977,19045.0846666496,142444.875202753,9107.83121892773,38023.3913243942,0,1441.14064174657,19829.1271269648,58279.1727707543,68082.6094027123,203220.517615003,21645.2946481502,20600.0274256092,13253.4289445322,220666.327415399,106016.274353713,362482.664125874,26399.2456795445,8315.84263987599,33881.0139325255,0,37131.4886403477,58095.62757972,56524.1409726635,400427.635432129,1416.07609650405,0,72412.3115190814,44281.5123731969,51166.7699914429,132501.105224549,44770.5357202052,67927.4422084141,3914.15985333798,765.614194507708,93720.1103271592,65040.6967148946,155500.370211931,127621.983631794,99626.5476202237,97424.6263298056,130362.752642182,161248.50270353,412780.448390781,224813.667519792,49203.281847579,44433.3724754141,203749.992162124,217878.535602121,51692.8366186479,33088.3996680809,255514.998292646,258541.235775791
citrate/isocitrate,3,0,1554.33257016412,4464.20353682529,9918.27691888653,2625.63046140572,16543.7900182715,3456.49624244362,2488.88879430566,0,0,3146.27678712386,5740.44797807467,9143.40637191284,7730.08248137749,14171.3423172828,5009.95908445069,0,8581.02104420388,11902.6797223467,26417.3994404238,2170.22409339235,1318.75935849753,5571.41301440231,0,517.963302176474,6785.25595697419,12149.928407092,4453.77794926048,0,757.08570078532,1330.25895204675,5546.87993788499,7694.00477910377,18415.3366172369,6943.98204833865,3596.62672099669,0,0,7217.45582143003,961.509262026032,3878.55448209539,4200.68513712687,17377.2916578279,17834.7941070913,9168.46318154752,26877.5600561478,28966.4684288034,17212.373443916,1409.87698250878,1458.76223645283,11212.4171568446,1601.46905671951,0,6941.62649088569,5528.96426055614,4542.07337050362
citrate/isocitrate,4,0,0,0,0,0,0,0,0,0,1974.55023844496,0,0,0,0,1227.30866276548,3173.95605174548,0,7884.7932505852,0,827.101107000682,0,0,0,0,0,1433.94182130017,0,0,0,0,7150.6039645233,0,3739.22038154328,0,0,0,0,0,2076.29922107261,0,5559.3123033255,0,11571.5884375454,702.425682379809,0,0,0,0,0,3842.08540917192,0,0,1254.98106547935,0,0,0
